Date,Year,Month,DayOfWeek,SportID,SportName,Strain,AvgHeartRate,MaxHeartRate,Duration_Minutes,Calories,StartTime,EndTime
15/09/2025,2025,9,Monday,45,Weightlifting,5.136,85,132,89,169,2025-09-16T00:22:00.398Z,2025-09-16T01:50:49.398Z
15/09/2025,2025,9,Monday,34,Tennis,13.6842,136,175,78,749,2025-09-15T17:36:00.670Z,2025-09-15T18:53:59.200Z
14/09/2025,2025,9,Sunday,45,Weightlifting,12.5989,92,133,65,150,2025-09-14T14:51:44.881Z,2025-09-14T15:57:12.881Z
13/09/2025,2025,9,Saturday,45,Weightlifting,10.1353,114,151,52,273,2025-09-13T14:18:00.190Z,2025-09-13T15:10:29.170Z
12/09/2025,2025,9,Friday,34,Tennis,15.4301,148,174,72,857,2025-09-12T22:04:30.640Z,2025-09-12T23:16:29.040Z
11/09/2025,2025,9,Thursday,45,Weightlifting,13.4899,91,135,55,115,2025-09-11T21:42:44.601Z,2025-09-11T22:38:12.601Z
10/09/2025,2025,9,Wednesday,45,Weightlifting,7.4229,69,107,68,83,2025-09-11T00:54:47.625Z,2025-09-11T02:02:47.625Z
09/09/2025,2025,9,Tuesday,34,Tennis,14.4844,140,168,79,826,2025-09-09T17:15:00.280Z,2025-09-09T18:34:29.900Z
08/09/2025,2025,9,Monday,45,Weightlifting,12.2614,87,128,82,130,2025-09-09T00:13:36.406Z,2025-09-09T01:35:56.406Z
08/09/2025,2025,9,Monday,34,Tennis,11.8595,131,168,56,489,2025-09-08T17:39:00.630Z,2025-09-08T18:35:29.830Z
07/09/2025,2025,9,Sunday,45,Weightlifting,13.4932,90,136,54,99,2025-09-07T17:00:51.450Z,2025-09-07T17:55:19.450Z
05/09/2025,2025,9,Friday,45,Weightlifting,7.4378,73,103,59,73,2025-09-06T00:41:14.578Z,2025-09-06T01:40:25.578Z
04/09/2025,2025,9,Thursday,34,Tennis,15.3528,147,187,69,813,2025-09-04T23:10:30.960Z,2025-09-05T00:19:04.910Z
04/09/2025,2025,9,Thursday,45,Weightlifting,7.7028,79,132,88,129,2025-09-04T21:29:05.560Z,2025-09-04T22:57:29.560Z
03/09/2025,2025,9,Wednesday,45,Weightlifting,7.5993,76,122,49,66,2025-09-03T23:50:19.939Z,2025-09-04T00:39:32.939Z
03/09/2025,2025,9,Wednesday,34,Tennis,12.4534,136,164,58,561,2025-09-04T00:42:00.300Z,2025-09-04T01:40:29.260Z
02/09/2025,2025,9,Tuesday,34,Tennis,11.2999,132,160,54,479,2025-09-02T17:39:00.720Z,2025-09-02T18:32:59.700Z
01/09/2025,2025,9,Monday,45,Weightlifting,12.1067,90,118,30,48,2025-09-02T00:58:32.188Z,2025-09-02T01:28:35.188Z
01/09/2025,2025,9,Monday,34,Tennis,12.2365,125,165,75,582,2025-09-01T17:25:30.100Z,2025-09-01T18:40:29.080Z
31/08/2025,2025,8,Sunday,45,Weightlifting,13.8464,93,157,106,233,2025-08-31T13:51:27.365Z,2025-08-31T15:37:49.365Z
30/08/2025,2025,8,Saturday,45,Weightlifting,10.3836,95,150,97,330,2025-08-30T21:51:06.328Z,2025-08-30T23:27:43.328Z
30/08/2025,2025,8,Saturday,34,Tennis,11.6273,126,166,70,543,2025-08-30T13:07:30.240Z,2025-08-30T14:17:59.210Z
29/08/2025,2025,8,Friday,45,Weightlifting,7.3517,79,112,34,43,2025-08-29T23:53:02.837Z,2025-08-30T00:27:25.837Z
27/08/2025,2025,8,Wednesday,45,Weightlifting,11.9287,78,128,65,89,2025-08-27T21:11:05.904Z,2025-08-27T22:16:10.904Z
26/08/2025,2025,8,Tuesday,45,Weightlifting,13.1861,74,111,120,148,2025-08-26T23:07:00.000Z,2025-08-27T01:07:00.000Z
23/08/2025,2025,8,Saturday,34,Tennis,13.2761,138,171,63,621,2025-08-23T21:33:00.970Z,2025-08-23T22:35:59.940Z
23/08/2025,2025,8,Saturday,100,Unknown,11.0377,134,166,45,413,2025-08-23T19:49:30.910Z,2025-08-23T20:34:29.910Z
22/08/2025,2025,8,Friday,63,Ice Skating,7.6255,111,145,69,324,2025-08-22T15:13:30.270Z,2025-08-22T16:22:29.250Z
21/08/2025,2025,8,Thursday,45,Weightlifting,8.1115,87,130,65,113,2025-08-21T21:17:13.111Z,2025-08-21T22:22:34.111Z
20/08/2025,2025,8,Wednesday,34,Tennis,15.2319,143,170,82,895,2025-08-20T23:57:00.700Z,2025-08-21T01:18:58.861Z
19/08/2025,2025,8,Tuesday,45,Weightlifting,13.5171,89,142,72,136,2025-08-20T00:13:25.917Z,2025-08-20T01:25:30.917Z
19/08/2025,2025,8,Tuesday,34,Tennis,11.8709,129,169,61,512,2025-08-19T17:31:30.700Z,2025-08-19T18:32:59.670Z
18/08/2025,2025,8,Monday,34,Tennis,11.2191,126,169,58,448,2025-08-18T17:36:00.730Z,2025-08-18T18:34:29.180Z
16/08/2025,2025,8,Saturday,45,Weightlifting,13.3801,103,141,94,333,2025-08-16T16:51:57.009Z,2025-08-16T18:26:15.009Z
16/08/2025,2025,8,Saturday,34,Tennis,14.792,143,165,78,864,2025-08-16T14:00:00.160Z,2025-08-16T15:17:59.140Z
15/08/2025,2025,8,Friday,45,Weightlifting,9.3452,92,152,102,256,2025-08-15T23:00:00.000Z,2025-08-16T00:42:00.000Z
13/08/2025,2025,8,Wednesday,45,Weightlifting,9.3805,92,146,85,238,2025-08-14T00:11:46.063Z,2025-08-14T01:36:18.063Z
12/08/2025,2025,8,Tuesday,45,Weightlifting,4.906,86,136,90,155,2025-08-12T22:27:07.411Z,2025-08-12T23:56:53.411Z
12/08/2025,2025,8,Tuesday,34,Tennis,13.1356,142,173,52,572,2025-08-12T17:43:30.580Z,2025-08-12T18:35:59.570Z
11/08/2025,2025,8,Monday,45,Weightlifting,13.3049,82,131,72,105,2025-08-12T00:17:35.561Z,2025-08-12T01:29:51.561Z
11/08/2025,2025,8,Monday,34,Tennis,12.9812,141,173,52,555,2025-08-11T17:39:00.930Z,2025-08-11T18:31:29.940Z
09/08/2025,2025,8,Saturday,34,Tennis,14.9925,147,185,63,746,2025-08-09T14:06:00.040Z,2025-08-09T15:08:59.030Z
08/08/2025,2025,8,Friday,34,Tennis,10.9561,135,164,46,442,2025-08-08T15:24:00.100Z,2025-08-08T16:10:29.090Z
07/08/2025,2025,8,Thursday,34,Tennis,13.3667,142,167,58,633,2025-08-07T23:16:30.760Z,2025-08-08T00:14:59.750Z
06/08/2025,2025,8,Wednesday,45,Weightlifting,13.2926,77,135,54,78,2025-08-06T22:42:07.734Z,2025-08-06T23:36:07.734Z
05/08/2025,2025,8,Tuesday,45,Weightlifting,11.9944,73,110,56,69,2025-08-05T23:31:49.747Z,2025-08-06T00:27:24.747Z
04/08/2025,2025,8,Monday,45,Weightlifting,7.8316,77,126,70,96,2025-08-05T00:24:58.144Z,2025-08-05T01:35:01.144Z
03/08/2025,2025,8,Sunday,52,Hiking/Rucking,9.6752,122,160,61,423,2025-08-04T02:27:00.460Z,2025-08-04T03:28:29.420Z
02/08/2025,2025,8,Saturday,52,Hiking/Rucking,4.2896,96,119,13,37,2025-08-02T18:10:06.002Z,2025-08-02T18:23:16.002Z
02/08/2025,2025,8,Saturday,52,Hiking/Rucking,11.4164,98,153,249,816,2025-08-02T13:10:36.135Z,2025-08-02T17:20:04.000Z
01/08/2025,2025,8,Friday,52,Hiking/Rucking,5.4437,92,133,72,164,2025-08-01T18:39:37.998Z,2025-08-01T19:51:19.000Z
01/08/2025,2025,8,Friday,52,Hiking/Rucking,0,0,0,164,0,2025-08-01T13:15:50.999Z,2025-08-01T15:59:41.999Z
31/07/2025,2025,7,Thursday,45,Weightlifting,13.7291,96,141,64,167,2025-07-31T21:19:42.502Z,2025-07-31T22:23:42.502Z
31/07/2025,2025,7,Thursday,52,Hiking/Rucking,5.1034,116,147,15,87,2025-07-31T17:01:30.850Z,2025-07-31T17:16:29.850Z
31/07/2025,2025,7,Thursday,52,Hiking/Rucking,5.2383,99,135,41,119,2025-07-31T17:32:41.998Z,2025-07-31T18:13:19.001Z
31/07/2025,2025,7,Thursday,52,Hiking/Rucking,7.4635,92,147,163,385,2025-07-31T13:32:56.729Z,2025-07-31T16:15:32.000Z
30/07/2025,2025,7,Wednesday,52,Hiking/Rucking,9.0673,114,174,64,347,2025-07-30T19:13:20.000Z,2025-07-30T20:17:22.000Z
29/07/2025,2025,7,Tuesday,45,Weightlifting,7.7947,78,130,72,113,2025-07-29T23:27:28.060Z,2025-07-30T00:39:21.060Z
29/07/2025,2025,7,Tuesday,34,Tennis,10.4711,124,157,66,488,2025-07-29T17:57:00.800Z,2025-07-29T19:02:53.750Z
28/07/2025,2025,7,Monday,45,Weightlifting,9.3468,97,137,82,227,2025-07-28T20:47:39.703Z,2025-07-28T22:09:19.703Z
28/07/2025,2025,7,Monday,34,Tennis,12.5677,132,175,67,597,2025-07-28T14:25:30.720Z,2025-07-28T15:32:05.390Z
27/07/2025,2025,7,Sunday,249,Unknown,13.5537,138,163,70,708,2025-07-27T20:22:30.360Z,2025-07-27T21:32:16.310Z
27/07/2025,2025,7,Sunday,34,Tennis,10.9475,122,156,78,544,2025-07-27T13:18:00.360Z,2025-07-27T14:35:59.310Z
26/07/2025,2025,7,Saturday,34,Tennis,17.1434,142,188,108,1170,2025-07-26T21:27:00.000Z,2025-07-26T23:14:59.920Z
26/07/2025,2025,7,Saturday,45,Weightlifting,13.7535,100,135,57,173,2025-07-26T14:37:28.392Z,2025-07-26T15:34:06.392Z
25/07/2025,2025,7,Friday,45,Weightlifting,14.8379,82,123,58,97,2025-07-25T21:48:20.289Z,2025-07-25T22:46:29.289Z
24/07/2025,2025,7,Thursday,45,Weightlifting,8.3732,87,137,105,175,2025-07-24T22:58:51.183Z,2025-07-25T00:43:26.183Z
23/07/2025,2025,7,Wednesday,45,Weightlifting,9.0767,88,154,76,184,2025-07-23T20:56:02.497Z,2025-07-23T22:11:40.497Z
23/07/2025,2025,7,Wednesday,34,Tennis,12.9422,138,168,55,563,2025-07-23T15:07:30.710Z,2025-07-23T16:02:59.690Z
22/07/2025,2025,7,Tuesday,45,Weightlifting,4.2859,82,123,75,100,2025-07-22T23:30:58.504Z,2025-07-23T00:45:55.504Z
20/07/2025,2025,7,Sunday,45,Weightlifting,14.1879,100,142,78,262,2025-07-20T21:49:14.315Z,2025-07-20T23:06:51.315Z
